,city,lat,lon,temp,humidity,cloud_cover,wind_speed,country,date
284,cabo san lucas,22.89,-109.91,88.5,33,5,10.29,MX,1588714333
285,bambous virieux,-20.34,57.76,73.2,94,40,3.36,MU,1588714479
286,kalengwa,-13.47,25.0,61.09,68,0,5.1,ZM,1588714444
287,san policarpo,12.18,125.51,82.45,82,91,6.58,PH,1588714479
288,anju,39.62,125.66,55.09,65,55,2.19,KP,1588714479
289,amanganj,24.43,80.03,82.87,34,11,3.36,IN,1588714480
290,nishihara,26.18,127.76,74.57,94,90,25.28,JP,1588714480
291,san quintin,30.48,-115.95,74.44,53,0,14.99,MX,1588714480
292,flin flon,54.77,-101.86,48.2,29,20,8.05,CA,1588714480
293,camapua,-19.53,-54.04,74.12,53,48,0.76,BR,1588714480
294,san carlos,9.66,-68.58,90.46,50,74,2.37,VE,1588714481
295,edd,13.93,41.69,91.53,48,98,17.56,ER,1588714481
296,lloydminster,53.28,-110.0,62.6,29,40,4.7,CA,1588714453
297,morant bay,17.88,-76.41,83.64,74,75,18.34,JM,1588714481
298,ozernovskiy,51.5,156.52,33.84,93,100,32.26,RU,1588714481
299,fortuna,40.6,-124.16,63.12,68,75,6.93,US,1588714479
300,carnarvon,-24.87,113.63,69.44,77,9,15.59,AU,1588714482
301,atchison,39.56,-95.12,70.52,50,1,27.51,US,1588714205
302,cabedelo,-6.98,-34.83,80.6,88,20,8.05,BR,1588714482
303,seydi,39.48,62.91,70.74,49,0,5.46,TM,1588714483
304,sao gabriel da cachoeira,-0.13,-67.09,75.2,94,40,8.05,BR,1588714483
305,asyut,27.18,31.18,73.4,31,0,12.75,EG,1588714483
306,bilma,18.69,12.92,82.81,13,0,8.75,NE,1588714362
307,issia,6.49,-6.59,77.4,88,11,2.06,CI,1588714483
308,omsukchan,62.53,155.8,23.13,94,100,13.35,RU,1588714483
309,kerman,30.28,57.08,60.8,36,4,4.97,IR,1588714484
310,majene,-3.54,118.97,79.3,87,100,8.5,ID,1588714484
311,yulara,-25.24,130.99,44.6,39,1,5.82,AU,1588714484
312,san patricio,19.22,-104.7,86.0,74,20,11.41,MX,1588714356
313,nadym,65.53,72.52,33.84,97,100,9.8,RU,1588714484
314,oksfjord,70.24,22.35,38.59,65,62,24.16,NO,1588714485
315,port macquarie,-31.43,152.92,55.51,97,47,4.34,AU,1588714485
316,beira,-19.84,34.84,75.2,69,20,8.05,MZ,1588714455
317,hargeysa,9.56,44.06,73.04,71,39,7.52,SO,1588714485
318,ostrovnoy,68.05,39.51,36.14,90,91,19.62,RU,1588714485
319,naze,28.37,129.48,73.4,100,75,4.7,JP,1588714486
320,stornoway,58.21,-6.39,45.82,87,2,2.24,GB,1588714486
321,maniitsoq,65.42,-52.9,31.59,93,99,14.09,GL,1588714338
322,sao jose da coroa grande,-8.9,-35.15,79.68,82,29,9.89,BR,1588714486
323,fairbanks,64.84,-147.72,57.43,32,20,3.85,US,1588714231
324,blagoyevo,63.37,47.92,41.49,94,92,4.36,RU,1588714487
325,havre-saint-pierre,50.23,-63.6,42.8,45,40,13.87,CA,1588714384
326,mount isa,-20.73,139.5,64.4,45,0,8.05,AU,1588714230
327,tomohon,1.33,124.84,75.2,100,20,2.24,ID,1588714487
328,sunrise manor,36.21,-115.07,89.74,6,1,8.05,US,1588714487
329,griffith,41.53,-87.42,45.57,65,90,6.22,US,1588714488
330,kiunga,-6.12,141.29,73.85,98,100,2.24,PG,1588714488
331,hamilton,39.18,-84.53,51.13,62,90,5.82,US,1588714227
332,wenling,28.37,121.36,73.0,90,100,5.59,CN,1588714488
333,vanavara,60.34,102.28,37.04,93,100,11.45,RU,1588714488
334,platnirovskaya,45.4,39.38,57.38,100,40,2.24,RU,1588714489
335,ho chi minh city,10.75,106.67,84.2,83,40,8.05,VN,1588714234
336,yar-sale,66.83,70.83,32.41,97,92,11.34,RU,1588714489
337,cururupu,-1.83,-44.87,76.82,96,100,4.61,BR,1588714489
338,sao joao da barra,-21.64,-41.05,76.06,73,91,5.82,BR,1588714224
339,wellington,-41.29,174.78,50.43,71,19,20.8,NZ,1588714490
340,edson,53.58,-116.44,59.0,30,1,8.05,CA,1588714227
341,hofn,64.25,-15.21,48.38,51,0,13.0,IS,1588714208
342,gainesville,29.65,-82.32,85.1,51,1,14.99,US,1588714442
343,eydhafushi,5.1,73.07,84.76,81,100,14.88,MV,1588714491
344,boueni,-12.9,45.08,80.6,78,88,9.17,YT,1588714491
345,sajokaza,48.28,20.58,42.53,75,21,2.24,HU,1588714491
346,sao miguel do araguaia,-13.28,-50.16,76.44,77,56,3.02,BR,1588714308
347,faanui,-16.48,-151.75,81.72,79,52,11.16,PF,1588714194
348,rafsanjan,30.41,55.99,73.62,25,30,9.31,IR,1588714492
349,half moon bay,37.46,-122.43,70.09,46,5,11.41,US,1588714492
350,cuamba,-14.8,36.54,62.67,91,0,5.3,MZ,1588714492
351,komsomolskiy,40.43,71.72,60.8,72,90,4.7,UZ,1588714492
352,khash,28.22,61.22,71.33,22,20,2.06,IR,1588714492
353,alamogordo,32.9,-105.96,78.66,18,1,9.17,US,1588714201
354,buala,-8.14,159.59,84.42,64,64,1.41,SB,1588714326
355,payakumbuh,-0.22,100.63,70.84,90,99,2.89,ID,1588714278
356,navalmoral de la mata,39.89,-5.54,59.0,59,0,3.0,ES,1588714493
357,kahului,20.89,-156.47,77.94,45,40,23.04,US,1588714425
358,pundaguitan,6.37,126.17,83.17,74,14,4.18,PH,1588714355
359,mahebourg,-20.41,57.7,73.4,94,40,3.36,MU,1588714223
360,havoysund,71.0,24.66,38.28,74,40,13.87,NO,1588714494
361,chikodi,16.43,74.6,74.77,79,16,7.09,IN,1588714494
362,yaan,7.38,8.57,83.98,66,0,4.99,NG,1588714425
363,hasaki,35.73,140.83,58.08,100,75,8.05,JP,1588714198
364,port lincoln,-34.73,135.87,60.19,38,100,20.47,AU,1588714495
365,paka,4.64,103.44,77.0,100,96,1.12,MY,1588714495
366,carndonagh,55.25,-7.27,42.58,81,30,5.57,IE,1588714495
367,kununurra,-15.77,128.73,59.0,77,69,7.23,AU,1588714195
368,aanekoski,62.69,25.82,39.09,64,10,5.39,FI,1588714200
369,taoudenni,22.68,-3.98,94.37,10,0,5.64,ML,1588714496
370,oranjestad,12.52,-70.03,86.0,70,20,23.04,AW,1588714227
371,la crosse,43.8,-91.24,51.39,62,20,4.7,US,1588714360
372,alofi,-19.06,-169.92,80.4,72,0,9.37,NU,1588714497
373,kontagora,10.4,5.47,86.97,42,15,3.62,NG,1588714497
374,sakakah,29.97,40.21,71.6,35,0,26.4,SA,1588714252
375,chengde,40.97,117.94,57.09,47,100,2.37,CN,1588714497
376,brigantine,39.41,-74.36,59.22,31,75,8.05,US,1588714498
377,kachiry,53.07,76.1,43.79,61,17,7.02,KZ,1588714498
378,ballarpur,19.83,79.35,90.36,31,37,8.5,IN,1588714498
379,inongo,-1.95,18.27,74.84,92,100,3.0,CD,1588714498
380,necochea,-38.55,-58.74,53.01,72,93,15.99,AR,1588714498
381,wabana,47.63,-52.95,41.65,100,90,27.51,CA,1588714498
382,sobolevo,54.43,31.9,51.4,96,87,5.5,RU,1588714499
383,bjornevatn,69.67,29.98,39.2,60,98,24.16,NO,1588714499
384,sioux lookout,50.1,-91.92,59.0,30,75,6.93,CA,1588714499
385,san cosme y damian,-27.32,-56.35,65.3,93,75,10.29,PY,1588714499
386,zunyi,27.69,106.91,67.12,95,89,7.47,CN,1588714499
387,bathsheba,13.22,-59.52,82.4,74,75,21.92,BB,1588714464
388,pingliang,35.54,106.69,58.73,80,98,6.4,CN,1588714500
389,khani,41.96,42.96,57.2,100,90,3.36,GE,1588714500
390,cheremnoye,53.17,83.21,39.2,79,27,8.95,RU,1588714500
391,sorland,67.67,12.69,39.2,78,75,12.75,NO,1588714501
392,manokwari,-0.87,134.08,80.85,76,73,3.38,ID,1588714501
393,merauke,-8.47,140.33,78.35,85,100,15.39,ID,1588714501
394,cape canaveral,28.41,-80.6,82.92,65,1,10.29,US,1588714501
395,theunissen,-28.41,26.7,52.18,40,0,5.28,ZA,1588714501
396,manali,13.17,80.27,84.65,83,20,3.36,IN,1588714501
397,kimbe,-5.55,150.14,79.2,83,100,1.88,PG,1588714502
398,saint-pierre,-21.34,55.48,71.29,88,43,8.05,RE,1588714401
399,nanortalik,60.14,-45.24,41.61,76,99,14.47,GL,1588714502
400,ko samui,9.54,99.94,84.78,72,12,9.44,TH,1588714502
401,tecoanapa,16.52,-98.75,86.4,52,98,11.3,MX,1588714503
402,diglur,18.55,77.6,85.91,30,25,6.24,IN,1588714503
403,saint-georges,12.06,-61.75,84.2,74,40,20.8,GD,1588714503
404,grenville,12.12,-61.62,84.2,74,40,20.8,GD,1588714503
405,ampanihy,-24.7,44.75,62.73,90,100,6.76,MG,1588714503
406,hervey bay,-25.3,152.85,63.81,87,2,8.05,AU,1588714504
407,nampula,-15.12,39.27,71.6,78,75,8.05,MZ,1588714504
408,katsuura,35.13,140.3,61.47,82,75,8.05,JP,1588714504
409,fukue,32.69,128.84,63.36,91,62,11.61,JP,1588714504
410,pacific grove,36.62,-121.92,62.8,63,1,11.41,US,1588714259
411,casablanca,33.59,-7.62,65.37,82,40,8.05,MA,1588714307
412,wilmington,34.23,-77.94,70.92,77,1,6.93,US,1588714405
413,yazman,29.12,71.74,87.33,22,0,5.84,PK,1588714505
414,shimoda,34.67,138.95,66.2,77,75,5.82,JP,1588714353
415,key largo,25.09,-80.45,82.09,64,0,3.0,US,1588714505
416,nyurba,63.28,118.33,39.63,77,100,3.76,RU,1588714505
417,mwadui,-3.55,33.6,66.56,89,2,6.46,TZ,1588714506
418,ponta do sol,32.67,-17.1,61.75,77,40,3.36,PT,1588714506
419,progreso,21.28,-89.67,94.06,39,75,6.93,MX,1588714244
420,srednekolymsk,67.45,153.68,30.02,96,95,5.79,RU,1588714506
421,anadyr,64.75,177.48,15.35,85,0,4.47,RU,1588714506
422,portsmouth,50.8,-1.09,48.58,68,91,4.0,GB,1588714507
423,talnakh,69.49,88.4,17.6,85,100,8.95,RU,1588714507
424,sorong,-0.88,131.25,80.37,82,58,3.56,ID,1588714507
425,selenduma,50.91,106.24,44.24,68,25,11.92,RU,1588714507
426,rolla,37.95,-91.77,67.89,39,20,19.46,US,1588714378
427,ialibu,-6.28,143.99,62.6,100,75,2.55,PG,1588714507
428,salinopolis,-0.61,-47.36,79.88,87,100,12.57,BR,1588714508
429,mogadishu,2.04,45.34,82.71,82,92,13.02,SO,1588714362
430,karratha,-20.74,116.85,68.22,65,74,6.17,AU,1588714508
431,kodiak,57.79,-152.41,44.6,75,90,24.16,US,1588714508
432,cairns,-16.92,145.77,68.5,88,75,11.41,AU,1588714298
433,riachao das neves,-11.75,-44.91,73.96,79,22,2.75,BR,1588714509
434,zambezi,-13.54,23.1,63.41,68,0,5.03,ZM,1588714509
435,axim,4.87,-2.24,81.63,83,90,5.3,GH,1588714509
436,muros,42.78,-9.06,61.0,84,82,4.0,ES,1588714509
437,pahrump,36.21,-115.98,83.84,6,0,3.0,US,1588714509
438,puerto leguizamo,-0.19,-74.78,86.41,65,1,1.36,CO,1588714510
439,ginda,30.69,78.49,50.95,55,0,7.43,IN,1588714510
440,angoche,-16.23,39.91,74.12,87,23,8.16,MZ,1588714510
441,cervo,43.67,-7.41,57.0,1,91,3.74,ES,1588714510
442,weifang,36.71,119.1,54.59,85,66,6.17,CN,1588714510
443,dukat,62.55,155.55,20.68,96,100,13.22,RU,1588714510
444,henties bay,-22.12,14.28,68.74,49,0,4.81,NA,1588714511
445,nebyliv,48.82,24.22,38.48,88,84,6.08,UA,1588714511
446,healesville,-37.65,145.52,50.72,82,100,4.29,AU,1588714511
447,inirida,3.87,-67.92,82.63,82,68,0.85,CO,1588714511
448,mayskiy,47.69,40.1,55.4,100,20,4.47,RU,1588714511
449,onega,63.91,38.14,37.83,87,100,4.76,RU,1588714512
450,rongcheng,30.63,117.85,61.39,92,86,3.96,CN,1588714512
451,san cristobal,7.77,-72.22,91.4,43,40,6.93,VE,1588714512
452,batagay,67.63,134.63,26.4,94,100,3.65,RU,1588714512
453,nichinan,31.6,131.37,68.0,94,75,6.93,JP,1588714512
454,mimongo,-1.62,11.61,71.6,95,100,2.28,GA,1588714513
455,nome,64.5,-165.41,42.8,56,1,2.37,US,1588714385
456,omaruru,-21.43,15.93,64.49,28,0,8.48,NA,1588714513
457,avera,33.19,-82.53,84.94,42,1,13.87,US,1588714513
458,ahuimanu,21.44,-157.84,81.73,51,75,13.87,US,1588714513
459,soanierana ivongo,-16.92,49.58,73.62,89,44,6.31,MG,1588714514
460,sibolga,1.74,98.78,76.08,84,100,5.86,ID,1588714514
461,tarquinia,42.25,11.76,55.98,78,100,4.14,IT,1588714514
462,abu dhabi,24.47,54.37,79.61,74,22,3.36,AE,1588714315
463,ennis,52.84,-8.99,51.8,76,75,18.34,IE,1588714514
464,coquimbo,-29.95,-71.34,60.8,77,0,10.29,CL,1588714515
465,sakaiminato,35.55,133.23,60.8,87,75,5.82,JP,1588714515
466,codrington,-38.27,141.97,52.43,63,100,12.84,AU,1588714515
467,guerrero negro,27.98,-114.06,79.32,42,0,15.86,MX,1588714515
468,otautau,-46.15,168.0,47.1,85,84,3.74,NZ,1588714515
469,bay city,43.59,-83.89,44.4,29,1,17.22,US,1588714340
470,zverinogolovskoye,54.46,64.85,51.31,46,0,8.81,RU,1588714516
471,tarime,-1.35,34.37,62.02,96,70,3.13,TZ,1588714516
472,beringovskiy,63.05,179.32,25.05,90,0,2.59,RU,1588714516
473,imbituba,-28.24,-48.67,69.8,83,98,3.36,BR,1588714516
474,mersing,2.43,103.84,75.2,100,88,4.7,MY,1588714516
475,santiago del estero,-27.8,-64.26,64.22,32,100,15.79,AR,1588714517
476,tilichiki,60.47,166.1,29.12,98,100,29.91,RU,1588714517
477,phuntsholing,26.85,89.39,70.88,48,5,5.97,BT,1588714517
478,gravdal,68.12,13.5,39.2,76,75,12.75,NO,1588714517
479,havelock,34.88,-76.9,68.43,64,75,10.29,US,1588714283
480,vestmannaeyjar,63.44,-20.27,44.47,87,37,10.22,IS,1588714517
481,pemangkat,1.17,108.97,78.57,89,99,5.73,ID,1588714518
482,moyale,3.52,39.06,67.12,88,98,3.33,KE,1588714518
483,asau,46.43,26.4,51.01,71,99,5.08,RO,1588714337
484,klyuchi,52.27,79.17,40.8,68,0,6.38,RU,1588714518
485,mangrol,21.12,70.12,79.95,88,0,9.57,IN,1588714519
486,iki-burul,45.82,44.65,59.52,77,98,4.47,RU,1588714519
487,mandalgovi,45.76,106.27,57.81,29,100,10.85,MN,1588714519
488,isangel,-19.55,169.27,71.6,100,90,13.15,VU,1588714443
489,bocas del toro,9.33,-82.25,70.0,69,95,3.0,PA,1588714519
490,conde,-7.26,-34.91,80.6,88,20,8.05,BR,1588714519
491,te anau,-45.42,167.72,45.57,79,56,0.27,NZ,1588714520
492,shurugwi,-19.67,30.01,50.45,71,0,3.71,ZW,1588714520
493,orange,33.7,-117.77,87.15,39,1,6.93,US,1588714485
494,salym,60.06,71.48,51.17,92,60,6.67,RU,1588714347
495,busayra,30.74,35.61,48.97,85,44,18.86,JO,1588714520
496,pauini,-7.71,-66.98,78.33,95,73,1.7,BR,1588714521
497,copiapo,-27.37,-70.33,64.4,63,0,6.93,CL,1588714368
498,bacolod,10.67,122.95,81.55,79,17,2.28,PH,1588714521
499,touros,-5.2,-35.46,80.6,88,40,5.82,BR,1588714254
500,yumen,40.28,97.2,52.65,71,100,4.43,CN,1588714521
501,tuatapere,-46.13,167.68,47.61,85,92,4.85,NZ,1588714521
502,mehran,33.12,46.16,71.6,30,75,6.93,IR,1588714522
503,ergani,38.27,39.76,62.6,48,75,8.05,TR,1588714522
504,myaundzha,63.05,147.19,18.27,91,0,4.59,RU,1588714522
505,olafsvik,64.89,-23.71,42.87,85,28,9.28,IS,1588714234
506,vanimo,-2.67,141.3,80.35,82,93,3.29,PG,1588714263
507,trabzon,40.92,39.83,57.2,93,75,6.93,TR,1588714523
508,tynda,55.17,124.72,37.85,72,0,1.45,RU,1588714523
509,haines junction,60.75,-137.51,49.95,47,0,5.46,CA,1588714523
510,opuwo,-18.06,13.84,67.46,35,4,5.82,NA,1588714336
511,ventspils,57.39,21.56,48.2,81,41,6.93,LV,1588714523
512,bonavista,48.65,-53.11,37.99,83,100,14.0,CA,1588714332
513,egvekinot,66.32,-179.17,25.97,87,12,0.83,RU,1588714506
514,luanda,-8.84,13.23,82.4,78,75,2.24,AO,1588714524
515,palmer,42.16,-72.33,58.05,26,20,13.87,US,1588714407
516,rio grande,-32.03,-52.1,70.43,53,20,8.05,BR,1588714310
517,poronaysk,49.22,143.12,37.83,76,77,1.07,RU,1588714524
518,belmonte,-15.86,-38.88,77.0,69,40,8.05,BR,1588714525
519,cardoso,-20.08,-49.91,72.55,66,52,1.14,BR,1588714525
520,baykit,61.67,96.37,33.49,90,96,5.99,RU,1588714525
521,camopi,3.17,-52.32,75.81,96,100,4.45,GF,1588714311
522,dawei,14.08,98.2,79.77,85,47,1.68,MM,1588714525
523,muroto,33.28,134.15,68.0,88,75,2.24,JP,1588714525
524,mehamn,71.04,27.85,37.4,74,40,13.87,NO,1588714526
525,san joaquin,10.26,-67.79,82.58,69,60,8.21,VE,1588714526
526,mangai,-4.05,19.53,72.03,96,52,2.1,CD,1588714526
527,kurchum,48.57,83.65,38.7,73,10,10.69,KZ,1588714527
528,two rivers,44.15,-87.57,48.54,45,1,9.17,US,1588714527
529,boca do acre,-8.75,-67.4,81.37,80,38,1.95,BR,1588714527
530,koutiala,12.39,-5.46,92.44,33,90,4.68,ML,1588714527
531,mitu,1.2,-70.17,79.68,90,84,2.89,CO,1588714528
532,adrar,20.5,-10.07,93.11,10,0,6.17,MR,1588714478
533,high level,58.52,-117.14,62.6,33,40,12.75,CA,1588714528
534,linjiang,41.81,126.91,47.08,67,0,1.36,CN,1588714528
535,paamiut,61.99,-49.67,33.82,93,100,8.03,GL,1588714528
536,misawa,40.68,141.36,48.2,87,20,3.36,JP,1588714529
537,videbaek,56.09,8.63,40.46,80,11,6.93,DK,1588714529
538,coihaique,-45.58,-72.07,46.4,81,36,2.24,CL,1588714483
539,hay river,60.82,-115.8,46.4,52,40,14.99,CA,1588714529
540,corner brook,48.97,-57.95,34.16,86,90,20.8,CA,1588714529
541,veraval,20.9,70.37,79.77,87,0,9.04,IN,1588714384
542,ulagan,50.63,87.96,26.96,91,48,2.13,RU,1588714530
543,honiara,-9.43,159.95,78.8,83,20,0.16,SB,1588714347
544,caranavi,-15.82,-67.55,69.8,92,71,1.63,BO,1588714530
545,port hedland,-20.32,118.57,64.4,77,0,8.05,AU,1588714530
546,charleston,32.78,-79.93,83.39,65,1,12.75,US,1588714323
547,yerbogachen,61.28,108.01,46.24,82,100,12.21,RU,1588714531
548,rio gallegos,-51.62,-69.22,50.0,43,63,8.05,AR,1588714365
549,kawalu,-7.38,108.21,72.86,92,90,1.68,ID,1588714531
550,jumla,29.27,82.18,46.47,65,100,1.36,NP,1588714531
551,barcelos,41.54,-8.62,60.49,88,75,10.29,PT,1588714430
552,lavrentiya,65.58,-171.0,29.07,90,0,1.66,RU,1588714531
553,awjilah,29.11,21.29,64.35,47,0,9.84,LY,1588714532
554,mindelo,16.89,-24.98,73.4,73,20,23.04,CV,1588714532
555,molchanovo,57.58,83.77,37.65,76,100,6.11,RU,1588714532
556,hailey,43.52,-114.32,64.4,18,5,6.93,US,1588714532
557,alice town,25.72,-79.3,78.71,60,0,4.34,BS,1588714532
558,maragogi,-9.01,-35.22,79.18,83,15,9.31,BR,1588714533
559,creel,27.75,-107.63,80.47,15,15,4.52,MX,1588714533
560,lagos,6.58,3.75,84.2,83,20,6.93,NG,1588714480
561,muncar,-8.43,114.33,77.54,88,30,5.19,ID,1588714533
562,natchitoches,31.77,-93.13,82.4,65,75,10.29,US,1588714533
563,kamaishi,39.27,141.88,51.57,71,99,7.25,JP,1588714373
564,arkhangelsk,64.54,40.54,30.2,92,96,2.24,RU,1588714534
565,puerto madryn,-42.77,-65.04,54.66,44,0,6.38,AR,1588714432
